City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,hamilton,39.1834,-84.5333,285.84,85,100,7.72,US,1676605038
212,la asuncion,11.0333,-63.8628,298.0,78,8,4.12,VE,1676605116
213,sawakin,19.1059,37.3321,292.55,63,37,5.59,SD,1676605116
214,entre rios,-11.9419,-38.0844,295.2,94,9,0.97,BR,1676605116
215,soure,-0.7167,-48.5233,297.72,87,100,2.79,BR,1676605117
216,kawalu,-7.3817,108.2082,301.04,72,100,1.08,ID,1676605117
217,upernavik,72.7868,-56.1549,249.77,92,100,8.71,GL,1676605118
218,galle,6.0367,80.217,299.95,64,68,3.01,LK,1676605118
219,kieta,-6.2167,155.6333,302.45,72,91,3.15,PG,1676605118
220,huntsville,34.7304,-86.5861,290.29,96,75,2.57,US,1676605034
221,east london,-33.0153,27.9116,294.67,100,100,2.06,ZA,1676605119
222,isla mujeres,21.2311,-86.731,299.18,79,3,6.57,MX,1676605120
223,vite,17.2833,74.55,299.12,19,12,5.94,IN,1676605120
224,saint-denis,48.9167,2.3333,284.58,92,100,5.66,FR,1676605120
225,umarkot,25.3616,69.7362,298.48,23,3,2.05,PK,1676605121
226,parintins,-2.6283,-56.7358,295.82,98,99,1.18,BR,1676605121
227,vrangel,42.7297,133.0839,273.48,65,69,4.66,RU,1676605122
228,bodden town,19.2833,-81.25,299.26,90,20,3.09,KY,1676605122
229,sabang,5.8933,95.3214,300.9,72,51,6.23,ID,1676605123
230,lodwar,3.1191,35.5973,299.16,41,64,3.16,KE,1676605123
231,nosy varika,-20.5833,48.5333,297.36,88,42,1.08,MG,1676605123
232,hobyo,5.3505,48.5268,298.04,80,23,7.58,SO,1676605124
233,kutahya,39.4242,29.9833,270.72,80,3,1.47,TR,1676605124
234,goderich,43.7501,-81.7165,271.99,93,100,3.09,CA,1676605125
235,irbeyskoye,55.6428,95.4522,264.32,92,100,8.97,RU,1676605125
236,la rochelle,46.1667,-1.15,284.19,100,100,4.63,FR,1676605102
237,coahuayana,18.7333,-103.6833,293.28,73,5,1.35,MX,1676605126
238,kavaratti,10.5669,72.642,299.23,75,97,1.49,IN,1676605126
239,loningen,52.7333,7.7667,283.25,93,100,8.28,DE,1676605126
240,kismayo,-0.3582,42.5454,298.33,80,69,6.39,SO,1676605127
241,dunedin,-45.8742,170.5036,288.78,82,100,4.08,NZ,1676605127
242,codrington,-38.2667,141.9667,295.14,63,0,7.65,AU,1676605128
243,shelburne,44.0787,-80.2041,269.76,97,100,7.61,CA,1676605128
244,roros,62.5747,11.3842,258.06,85,100,0.0,NO,1676605128
245,fort nelson,58.8053,-122.7002,256.92,83,100,4.12,CA,1676605129
246,namatanai,-3.6667,152.4333,302.61,67,97,3.64,PG,1676605129
247,tandil,-37.3217,-59.1332,279.09,84,45,6.03,AR,1676604875
248,mar del plata,-38.0023,-57.5575,282.09,96,100,4.12,AR,1676605129
249,tiksi,71.6872,128.8694,250.45,93,100,1.51,RU,1676605130
250,rawson,-43.3002,-65.1023,283.89,52,54,10.21,AR,1676604965
251,ulaangom,49.9811,92.0667,249.4,94,30,1.49,MN,1676605130
252,sretensk,52.2453,117.7093,262.1,85,100,1.6,RU,1676605131
253,altay,47.8667,88.1167,261.39,79,26,1.18,CN,1676605131
254,pahrump,36.2083,-115.9839,278.29,21,97,0.45,US,1676605086
255,sapozhok,53.9419,40.6806,258.69,98,100,2.31,RU,1676605132
256,quzhou,28.9594,118.8686,287.86,59,1,0.53,CN,1676605132
257,ponta delgada,37.7333,-25.6667,287.55,77,75,2.57,PT,1676605132
258,homer,59.6425,-151.5483,271.93,70,0,2.24,US,1676604956
259,los llanos de aridane,28.6585,-17.9182,289.01,63,0,7.2,ES,1676605133
260,nizwa,22.9333,57.5333,297.3,19,3,0.13,OM,1676605133
